greenDAO	0	0.0	True	29348	https://github.com/greenrobot/greenDAO	93.65	8792	False	True	7145	greenDAO is a light & fast ORM solution for Android that maps objects to SQLite databases.
stetho	0	0.0	True	26681	https://github.com/facebook/stetho	97.89	8606	False	True	2052	Stetho is a debug bridge for Android applications, enabling the powerful Chrome Developer Tools and much more.
android-UniversalMusicPlayer	0	0.0	True	9223	https://github.com/googlesamples/android-UniversalMusicPlayer	100.0	8508	True	True	7836	This sample shows how to implement an audio media app that works across multiple form factors and provide a consistent user experience on Android phones, tablets, Auto, Wear and Cast devices
android-Ultra-Pull-To-Refresh	0	0.0	True	6929	https://github.com/liaohuqiu/android-Ultra-Pull-To-Refresh	99.53	8460	True	True	3474	Ultra Pull to Refresh for Android. Support all the views.
chrisbanes__Android-PullToRefresh	0	0.0	True	6138	https://github.com/chrisbanes/Android-PullToRefresh	100.0	8448	True	False	4286	DEPRECATED
AndroidViewAnimations	0	0.0	True	3446	https://github.com/daimajia/AndroidViewAnimations	100.0	8331	True	False	288	Cute view animation collection.
Signal-Android	51	0.001	True	93002	https://github.com/WhisperSystems/Signal-Android	99.57	8296	True	True	120429	A private messenger for Android.
MaterialDrawer	0	0.0	True	14084	https://github.com/mikepenz/MaterialDrawer	100.0	8264	False	True	20337	The flexible, easy to use, all in one drawer library for your Android project.
CircleImageView	0	0.0	True	496	https://github.com/hdodenhof/CircleImageView	100.0	8208	False	True	965	A circular ImageView for Android
alibaba__druid	0	0.0	False	416371	https://github.com/alibaba/druid	98.7	8144	False	False	50485	:hotsprings: 为监控而生的数据库连接池！阿里云DRDS(https://www.aliyun.com/product/drds )、阿里巴巴TDDL 连接池powered by Druid
Android-ObservableScrollView	0	0.0	True	17191	https://github.com/ksoichiro/Android-ObservableScrollView	91.43	8136	True	True	13780	Android library to observe scroll events on scrollable views.
FizzBuzzEnterpriseEdition	0	0.0	False	1981	https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition	100.0	8086	False	False	284	FizzBuzz Enterprise Edition is a no-nonsense implementation of FizzBuzz made by serious businessmen for serious business purposes.
java8-tutorial	171	0.048	False	3534	https://github.com/winterbe/java8-tutorial	92.08	8051	False	False	152	Modern Java - A Guide to Java 8
ExoPlayer	0	0.0	True	122317	https://github.com/google/ExoPlayer	98.35	8033	False	True	54128	An extensible media player for Android
HomeMirror	0	0.0	True	2489	https://github.com/HannahMitt/HomeMirror	99.46	7709	False	True	5989	Android application powering the mirror in my house
logger	0	0.0	True	1980	https://github.com/orhanobut/logger	100.0	7634	False	True	1790	✔️ Simple, pretty and powerful logger for android
ActionBarSherlock	0	0.0	True	42151	https://github.com/JakeWharton/ActionBarSherlock	97.54	7351	False	True	21244	[DEPRECATED] Action bar implementation which uses the native action bar on Android 4.0+ and a custom implementation on pre-4.0 through a single API and theme.
bazel	583	0.001	False	954074	https://github.com/bazelbuild/bazel	90.59	7315	False	False	412866	a fast, scalable, multi-language and extensible build system
BottomBar	0	0.0	False	4295	https://github.com/roughike/BottomBar	100.0	7139	False	False	40792	A custom view component that mimics the new Material Design Bottom Navigation pattern.
cheesesquare	0	0.0	True	569	https://github.com/chrisbanes/cheesesquare	100.0	7084	False	True	1322	Demos the new Android Design library.
recyclerview-animators	0	0.0	True	2698	https://github.com/wasabeef/recyclerview-animators	100.0	6946	False	True	67459	An Android Animation library which easily add itemanimator to RecyclerView items.
Calligraphy	0	0.0	True	1845	https://github.com/chrisjenx/Calligraphy	100.0	6945	False	True	1536	Custom fonts in Android the easy way...
